Token,Language,POS,NE,Lemma,Anglicism
inmigrantes,,NOUN,O,inmigrante,
extranjeros,,ADJ,O,extranjero,
hirió,,VERB,O,herir,
africanos,,NOUN,O,africano,
detenido,,VERB,O,detener,
policía,,NOUN,O,policía,
envuelto,,NOUN,O,envolver,
bandera,,NOUN,O,bandera,
tricolor,,ADJ,O,tricolor,
saludo,,NOUN,O,saludar,
fascista,,ADJ,O,fascista,
gritó,,VERB,O,gritar,
grupos,,NOUN,O,grupo,
extrema,,ADJ,O,extremo,
derecha,,NOUN,O,derecho,
excandidato,,NOUN,O,excandidato,
municipal,,ADJ,O,municipal,
actuó,,VERB,O,actuar,
vengarse,,NOUN,O,vengarse,
nigeriano,,NOUN,O,nigeriano,
presunto,,ADJ,O,presunto,
autor,,NOUN,O,autor,
terrible,,ADJ,O,terrible,
asesinato,,NOUN,O,asesinato,
chica,,NOUN,O,chico,
italiana,,ADJ,O,italiano,
años,,NOUN,O,año,
apareció,,VERB,O,aparecer,
descuartizada,,ADJ,O,descuartizar,
valijas,,NOUN,O,valija,
campiña,,NOUN,O,campiña,
zona,,NOUN,O,zona,
convirtió,,VERB,O,convertir,
suerte,,NOUN,O,suerte,
justiciero,,ADJ,O,justiciero,
italianos,,NOUN,O,italiano,
años,,NOUN,O,año,
incubando,,VERB,O,incubar,
rabia,,NOUN,O,rabiar,
sentimientos,,NOUN,O,sentimiento,
racistas,,ADJ,O,racista,
oleada,,NOUN,O,olear,
migratoria,,ADJ,O,migratorio,
umbral,,NOUN,O,umbral,
estación,,NOUN,O,estación,
neofascista,,ADJ,O,neofascista,
tonos,,NOUN,O,tono,
actitudes,,NOUN,O,actitud,
política,,NOUN,O,político,
denunciarlo,,VERB,O,denunciarlo,
advirtió,,VERB,O,advertir,
ministro,,NOUN,O,ministro,
gobierno,,NOUN,O,gobernar,
fascismo,,NOUN,O,fascismo,
histórico,,ADJ,O,histórico,
tragedia,,NOUN,O,tragedia,
vergüenza,,NOUN,O,vergüenza,
desastre,,NOUN,O,desastre,
guerra,,NOUN,O,guerra,
volver,,VERB,O,volver,
ideología,,NOUN,O,ideología,
derrotada,,ADJ,O,derrotar,
episodios,,NOUN,O,episodio,
abre,,VERB,O,abrir,
puertas,,NOUN,O,puerta,
retorno,,NOUN,O,retornar,
fascismo,,NOUN,O,fascismo,
alertó,,VERB,O,alertar,
entrevista,,NOUN,O,entrevistar,
gobernó,,VERB,O,gobernar,
años,,NOUN,O,año,
1922,,NOUN,O,1922,
asoma,,VERB,O,asomar,
cambiada,,ADJ,O,cambiar,
superficial,,ADJ,O,superficial,
pesadilla,,NOUN,O,pesadilla,
analfabetas,,NOUN,O,analfabeto,
época,,NOUN,O,época,
analfabetas,,NOUN,O,analfabeto,
denuncia,,VERB,O,denunciar,
turistas,,NOUN,O,turista,
romanos,,NOUN,O,romano,
paseando,,VERB,O,pasear,
ojotas,,NOUN,O,ojotas,
bermudas,,ADJ,O,bermudas,
pleno,,ADJ,O,pleno,
verano,,NOUN,O,verano,
piensa,,VERB,O,pensar,
disgustado,,ADJ,O,disgustar,
pantorrillas,,NOUN,O,pantorrilla,
desnudas,,ADJ,O,desnudo,
terminó,,VERB,O,terminar,
explicarle,,ADJ,O,explicarle,
funciona,,VERB,O,funcionar,
frente,,NOUN,O,frente,
computadora,,NOUN,O,computador,
queja,,VERB,O,quejar,
anglicismos,,VERB,O,anglicismo,
lengua,,NOUN,O,lengua,
italiana,,ADJ,O,italiano,
llaman,,VERB,O,llamar,
ratón,,NOUN,O,ratón,
pregunta,,VERB,O,preguntar,
espantado,,ADJ,O,espantar,
queríamos,,VERB,O,querer,
juzgar,,VERB,O,juzgar,
señala,,VERB,O,señalar,
director,,NOUN,O,director,
principio,,NOUN,O,principiar,
ríe,,VERB,O,reír,
avergüenza,,VERB,O,avergonzar,
alien,,ADJ,O,alien,
miedo,,NOUN,O,miedo,
volver,,VERB,O,volver,
fascismo,,NOUN,O,fascismo,
parecido,,ADJ,O,parecer,
forma,,VERB,O,formar,
paisaje,,NOUN,O,paisaje,
moral,,ADJ,O,moral,
agrega,,VERB,O,agregar,
muestra,,VERB,O,mostrar,
italianos,,NOUN,O,italiano,
distantes,,ADJ,O,distante,
figura,,NOUN,O,figurar,
dictador,,NOUN,O,dictador,
alemanes,,NOUN,O,alemán,
puntualiza,,VERB,O,puntualizar,
imaginó,,VERB,O,imaginar,
tornato,,NOUN,O,tornato,
estrenarí,,VERB,O,estrenarí,
período,,NOUN,O,período,
rojo,,NOUN,O,rojo,
vivo,,ADJ,O,vivir,
tendría,,VERB,O,tener,
repercusión,,NOUN,O,repercusión,
italianos,,NOUN,O,italiano,
listos,,ADJ,O,listo,
retorno,,NOUN,O,retornar,
fascismo,,NOUN,O,fascismo,
populismo,,NOUN,O,populismo,
problema,,NOUN,O,problema,
película,,NOUN,O,película,
haga,,VERB,O,hacer,
reflexionar,,VERB,O,reflexionar,
acapara,,VERB,O,acaparar,
verano,,NOUN,O,verano,
británico,,ADJ,O,británico,
nace,,VERB,O,nacer,
unión,,NOUN,O,unión,
palabras,,NOUN,O,palabra,
camping,,NOUN,O,camping,
glamour,,ADJ,O,glamour,
redefine,,ADJ,O,redefinir,
vacaciones,,NOUN,O,vacación,
naturales,,ADJ,O,natural,
región,,NOUN,O,región,
inglesa,,ADJ,O,inglés,
garrafa,,NOUN,O,garrafa,
portátil,,ADJ,O,portátil,
cocinar,,VERB,O,cocinar,
desperdiciadas,,ADJ,O,desperdiciar,
armar,,VERB,O,armar,
carpa,,NOUN,O,carpir,
experimentar,,VERB,O,experimentar,
naturaleza,,NOUN,O,naturaleza,
popular,,ADJ,O,popular,
británicos,,NOUN,O,británico,
novedad,,NOUN,O,novedad,
interesante,,ADJ,O,interesante,
comenzó,,VERB,O,comenzar,
masivo,,ADJ,O,masivo,
verano,,NOUN,O,verano,
inglés,,ADJ,O,inglés,
hábitos,,NOUN,O,hábito,
ponen,,VERB,O,poner,
moda,,NOUN,O,moda,
adoptarse,,NOUN,O,adoptarse,
resto,,NOUN,O,restar,
carpas,,NOUN,O,carpir,
boutique,,NOUN,O,boutique,
apuntan,,VERB,O,apuntar,
generar,,VERB,O,generar,
experiencia,,NOUN,O,experiencia,
inmersión,,NOUN,O,inmersión,
naturaleza,,NOUN,O,naturaleza,
comodidad,,NOUN,O,comodidad,
hotel,,NOUN,O,hotel,
alta,,ADJ,O,alto,
gama,,NOUN,O,gama,
cápsulas,,NOUN,O,cápsula,
vidrio,,NOUN,O,vidriar,
insertadas,,ADJ,O,insertar,
paisajes,,NOUN,O,paisaje,
fastuosos,,ADJ,O,fastuoso,
iglús,,ADJ,O,iglú,
hielo,,NOUN,O,helar,
terrazas,,NOUN,O,terraza,
preparadas,,ADJ,O,preparar,
dormir,,VERB,O,dormir,
estrellas,,NOUN,O,estrellar,
inspiradas,,ADJ,O,inspirar,
safaris,,NOUN,O,safari,
años,,NOUN,O,año,
carpas,,NOUN,O,carpir,
similares,,ADJ,O,similar,
utilizar,,VERB,O,utilizar,
beduinos,,NOUN,O,beduino,
familia,,NOUN,O,familia,
ido,,VERB,O,ir,
glamping,,NOUN,O,glamping,
madre,,NOUN,O,madre,
hijas,,NOUN,O,hijo,
vive,,VERB,O,vivir,
años,,NOUN,O,año,
perfecto,,ADJ,O,perfecto,
niños,,NOUN,O,niño,
pequeños,,ADJ,O,pequeño,
vivís,,VERB,O,vivir,
aventura,,NOUN,O,aventurar,
cercanía,,VERB,O,cercanía,
naturaleza,,NOUN,O,naturaleza,
ofrece,,VERB,O,ofrecer,
camping,,NOUN,O,camping,
electricidad,,NOUN,O,electricidad,
conexión,,NOUN,O,conexión,
comodidades,,NOUN,O,comodidad,
cama,,NOUN,O,cama,
tenés,,ADJ,O,tenés,
baño,,NOUN,O,bañar,
agua,,NOUN,O,aguar,
caliente,,ADJ,O,calentar,
carpa,,NOUN,O,carpir,
ventaja,,NOUN,O,ventaja,
armar,,VERB,O,armar,
desarmar,,VERB,O,desarmar,
agrega,,VERB,O,agregar,
carpa,,NOUN,O,carpir,
prearmada,,ADJ,O,prearmado,
agregado,,VERB,O,agregar,
cama,,NOUN,O,cama,
king,,ADJ,O,king,
size,,NOUN,O,size,
baño,,NOUN,O,bañar,
ducha,,NOUN,O,duchar,
caliente,,ADJ,O,calentar,
encuentran,,VERB,O,encontrar,
lugares,,NOUN,O,lugar,
glamping,,NOUN,O,glamping,
exceden,,VERB,O,exceder,
experiencia,,NOUN,O,experiencia,
camping,,NOUN,O,camping,
tradicional,,ADJ,O,tradicional,
abundan,,VERB,O,abundar,
detalles,,NOUN,O,detalle,
ideados,,ADJ,O,idear,
generar,,VERB,O,generar,
experiencia,,NOUN,O,experiencia,
